idx,model_idx,modality,n_filters,n_blocks,macs,max_memory_size,params(M),accuracy_old,accuracy,latency
1,19,I,128,16,4109207296,1359,20956802,0.895510254,0.857170834,0.22536907
2,16,I,128,2,764160512,1199,135554,0.858998745,0.822406145,0.065493681
3,17,I,128,4,1137120512,1239,268162,0.88711237,0.853541034,0.109725072
4,18,I,128,8,2126970624,1279,1257602,0.884855497,0.82969249,0.177828193
5,19,II,128,16,4109207296,1359,20956802,0.946080563,0.852107023,0.251176345
6,16,II,128,2,764160512,1199,135554,0.950714315,0.847882696,0.067787881
7,17,II,128,4,1137120512,1239,268162,0.981350606,0.850582521,0.127794876
8,18,II,128,8,2126970624,1279,1257602,0.934959148,0.839060244,0.194970105
9,19,III,128,16,4109207296,1359,20956802,0.773609868,0.700107456,0.285983963
10,16,III,128,2,764160512,1199,135554,0.556443772,0.581911572,0.069914479
11,17,III,128,4,1137120512,1239,268162,0.686664918,0.671760739,0.106175272
12,18,III,128,8,2126970624,1279,1257602,0.556487495,0.596931515,0.145356786
13,15,I,64,16,1037943680,1179,5251906,0.842323846,0.781396057,0.155836708
14,12,I,64,2,197760256,1117,35010,0.863889187,0.794013883,0.069251026
15,13,I,64,4,292080256,1137,68546,0.858987269,0.818863431,0.090574718
16,14,I,64,8,541163392,1137,317506,0.830842767,0.798878555,0.123155529
17,15,II,64,16,1037943680,1179,5251906,0.949019564,0.83833597,0.155011523
18,12,II,64,2,197760256,1117,35010,0.975137623,0.915699747,0.064256165
19,13,II,64,4,292080256,1137,68546,0.949569506,0.879345748,0.099350841
20,14,II,64,8,541163392,1137,317506,0.891109404,0.8253897,0.113095555
21,15,III,64,16,1037943680,1179,5251906,0.714919516,0.718862738,0.154920535
22,12,III,64,2,197760256,1117,35010,0.897455655,0.773441356,0.064148096
23,13,III,64,4,292080256,1137,68546,0.49724583,0.505088306,0.084015419
24,14,III,64,8,541163392,1137,317506,0.790690978,0.758768522,0.116225944
25,11,I,32,16,264806848,1077,1319330,0.845897518,0.810233143,0.14622128
26,8,I,32,2,52800128,1045,9314,0.845701644,0.791816256,0.065250483
27,9,I,32,4,76920128,1047,17890,0.875665634,0.82434453,0.070615635
28,10,I,32,8,140001216,1061,80930,0.883593825,0.82451381,0.092025199
29,11,II,32,16,264806848,1077,1319330,0.886174776,0.892578827,0.142455602
30,8,II,32,2,52800128,1045,9314,0.960445202,0.854923823,0.06385079
31,9,II,32,4,76920128,1047,17890,0.95531661,0.891069058,0.075388966
32,10,II,32,8,140001216,1061,80930,0.970417993,0.867600258,0.107124612
33,11,III,32,16,264806848,1077,1319330,0.714211946,0.73481128,0.114948947
34,8,III,32,2,52800128,1045,9314,0.519163551,0.579394937,0.05876374
35,9,III,32,4,76920128,1047,17890,0.480457583,0.623071761,0.080928972
36,10,III,32,8,140001216,1061,80930,0.533366605,0.570903296,0.121609268
37,7,I,16,16,68862176,1045,333010,0.883009534,0.819086085,0.111892247
38,4,I,16,2,14880064,1029,2610,0.875789855,0.810616971,0.061203931
39,5,I,16,4,21180064,1031,4850,0.826868369,0.810935261,0.07138845
40,6,I,16,8,37355488,1037,21010,0.833394598,0.788124674,0.081378126
41,7,II,16,16,68862176,1045,333010,0.949967689,0.818707184,0.114786017
42,4,II,16,2,14880064,1029,2610,0.97246758,0.862784727,0.056254166
43,5,II,16,4,21180064,1031,4850,0.977026326,0.88103632,0.07615257
44,6,II,16,8,37355488,1037,21010,0.955919355,0.848353483,0.080508025
45,7,III,16,16,68862176,1045,333010,0.532718193,0.604150588,0.120125704
46,4,III,16,2,14880064,1029,2610,0.602321702,0.619516743,0.065052711
47,5,III,16,4,21180064,1031,4850,0.800824709,0.731448979,0.074333496
48,6,III,16,8,37355488,1037,21010,0.845396759,0.825604793,0.080982375
49,3,I,8,16,18545776,1029,84842,0.843680507,0.831351339,0.124644573
50,0,I,8,2,4560032,1017,794,0.852837261,0.802761555,0.056905072
51,1,I,8,4,6270032,1021,1402,0.842151011,0.802112348,0.06615612
52,2,I,8,8,10516464,1025,5642,0.890344012,0.804161771,0.080655408
53,3,II,8,16,18545776,1029,84842,0.867430043,0.813565253,0.112803837
54,0,II,8,2,4560032,1017,794,0.963804325,0.856662243,0.06228937
55,1,II,8,4,6270032,1021,1402,0.945392302,0.840363027,0.067630363
56,2,II,8,8,10516464,1025,5642,0.958280768,0.833792447,0.080148659
57,3,III,8,16,18545776,1029,84842,0.858229088,0.782218208,0.113890133
58,0,III,8,2,4560032,1017,794,0.60483412,0.687488388,0.079173997
59,1,III,8,4,6270032,1021,1402,0.673268086,0.662406114,0.07241086
60,2,III,8,8,10516464,1025,5642,0.819970281,0.781776156,0.080599377